"","count.201001","count.201002","count.201003","count.201004","count.201005","count.201006","count.201007","count.201008","count.201009","count.201010","count.201011","count.201012","count.201101","count.201102","count.201103","count.201104","count.201105","count.201106","count.201107","count.201108","count.201109","count.201110","count.201111","count.201112","count.201201","count.201202","count.201203","count.201204","count.201205","count.201206","count.201207","count.201208","count.201209","count.201210","count.201211","count.201212","count.201301","count.201302","count.201303","count.201304","count.201305","count.201306","count.201307","count.201308","count.201309","count.201310","count.201311","count.201312","count.201401","count.201402","count.201403","count.201404","count.201405","count.201406","count.201407","count.201408","count.201409","count.201410","count.201411","count.201412","count.201501","count.201502","count.201503","count.201504","count.201505","count.201506","count.201507","count.201508","count.201509","count.201510","count.201511","count.201512"
"1",0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,2
"4",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"7",0,0,2,0,1,0,1,1,1,1,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8",0,1,0,0,0,0,1,1,4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9",2,1,1,2,1,0,2,1,0,1,6,1,4,2,0,3,0,3,2,2,3,2,0,0,1,0,0,0,3,0,2,0,2,0,2,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
"10",0,0,0,1,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
"11",1,2,2,2,1,1,1,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,1,2,1,1,0,0,2,2,0,0,0,0,0,1,0,3
"12",0,2,0,3,2,1,0,1,2,1,3,3,0,2,0,3,1,2,1,2,4,2,0,0,1,3,2,1,0,1,2,1,1,2,1,1,0,0,3,1,0,1,0,0,3,2,2,1,0,0,0,2,2,0,1,3,2,1,0,3,0,0,1,1,0,1,0,0,3,1,0,2
"13",0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,1,1,4,2,0,0,2,1,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,1,0,1,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1
"15",1,2,0,0,2,1,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,3,2,0,2,1,1,1,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
"16",1,2,5,0,0,0,0,3,0,3,0,0,1,4,1,1,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,1,1,0,0,2,0,0,0,0,1,0,1,1,3,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0
"17",0,0,0,1,0,2,0,1,0,2,3,0,0,0,0,1,1,1,1,0,0,2,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3
"18",1,4,1,1,2,3,1,0,0,0,0,0,1,1,1,0,1,0,0,2,0,1,1,2,0,0,2,0,3,1,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,0,1,0,1,1,0,2,2,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0
"19",1,1,1,1,2,2,3,1,3,4,3,2,0,2,0,2,4,0,6,1,4,0,3,0,1,0,0,0,1,0,0,3,1,2,1,0,2,3,1,0,3,3,3,2,5,2,1,1,1,1,1,1,2,1,0,5,1,3,2,0,0,0,0,2,0,0,1,0,1,0,0,1
"20",3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21",0,3,1,2,1,0,1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,2,1,0,2,1,0,0,1,0,1,2,1,2,1,1,3,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,3,0,1,1,2,1,2,1,1,0,0,2,0,2,4,0,0,0,2
"22",0,1,2,1,0,1,1,1,3,1,1,2,7,2,1,0,1,1,0,1,1,0,1,4,1,0,0,0,0,2,0,2,2,0,0,1,0,2,2,0,4,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1,1,0
"23",1,0,1,1,0,0,1,0,0,0,1,2,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
"24",0,0,1,1,1,0,0,0,0,1,0,0,2,0,2,1,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"25",1,1,0,4,1,1,0,0,2,1,1,1,3,4,0,1,3,5,1,2,0,0,2,0,0,1,0,0,3,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
"26",0,0,2,1,7,4,4,3,0,1,1,1,3,1,1,1,0,2,3,7,2,4,1,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1
"27",1,1,1,1,1,0,0,0,0,1,1,0,2,0,1,1,0,3,2,1,2,2,2,0,1,1,0,1,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,3,1,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0
"28",1,0,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",3,2,8,4,3,1,7,4,1,0,2,1,1,0,3,3,1,2,3,3,3,1,3,0,2,2,2,5,3,4,5,3,2,2,0,1,3,0,1,0,1,2,1,0,1,2,5,1,0,0,1,0,1,3,2,1,0,3,1,0,0,0,0,1,1,0,6,0,1,0,0,0
"30",0,1,0,1,4,0,0,3,0,1,0,1,1,2,0,3,0,0,4,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
"31",2,0,2,3,4,2,1,3,5,0,1,0,1,2,2,0,2,0,4,3,1,2,5,1,1,0,2,0,2,1,1,5,1,1,0,1,2,0,1,0,0,0,1,0,1,2,1,1,0,0,0,0,1,3,3,1,2,0,1,0,0,0,1,2,1,1,1,0,1,1,3,0
"32",4,2,0,1,2,1,2,1,0,1,0,1,0,1,0,0,0,2,0,0,1,2,1,2,1,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,2,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1
"33",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"34",3,2,1,0,4,4,2,1,1,4,3,4,2,4,0,4,6,6,2,7,1,4,7,3,1,2,1,4,3,8,3,3,2,2,6,0,1,1,1,0,0,1,1,3,1,1,2,4,0,0,0,3,4,1,2,3,3,3,0,1,2,0,0,2,0,4,1,1,4,6,4,1
"35",0,1,1,2,3,4,3,3,4,4,1,2,10,6,2,7,2,2,1,2,4,1,1,6,3,1,0,3,3,5,4,5,2,2,2,7,7,1,0,1,0,1,1,4,5,2,5,0,0,2,2,0,0,2,2,0,0,2,6,4,1,0,1,4,3,2,0,3,1,2,1,2
"36",0,0,2,0,3,1,0,1,4,1,1,4,1,7,3,3,3,2,0,3,1,1,1,2,0,0,1,1,1,1,0,0,1,1,2,3,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"37",1,3,0,1,2,1,0,2,2,1,2,1,3,4,1,4,2,1,0,1,2,4,4,3,4,6,2,2,2,4,2,1,2,3,0,1,0,0,0,1,1,4,1,1,5,1,3,5,6,3,6,2,3,4,5,1,1,1,7,2,1,0,2,4,3,3,2,5,3,6,2,0
"38",2,0,1,1,1,5,1,1,6,1,5,4,1,3,6,4,1,3,5,4,2,1,3,5,3,2,0,1,4,7,2,3,1,0,2,8,4,0,1,0,2,2,0,6,6,4,3,2,0,2,3,1,7,6,6,2,5,7,4,2,4,1,0,1,1,2,0,3,1,9,1,1
"39",0,1,0,2,1,1,2,3,2,4,3,1,1,2,1,4,3,3,4,7,8,0,2,2,0,0,1,1,3,3,0,0,4,4,0,0,1,0,2,0,0,3,2,4,5,1,2,4,1,0,0,1,1,1,1,1,0,0,1,1,0,1,2,1,2,0,3,2,1,3,1,5
"40",3,1,2,2,1,3,1,3,4,2,2,2,2,0,1,1,3,6,0,5,5,4,1,1,1,2,6,1,3,2,1,1,1,3,4,2,4,0,0,3,1,3,3,4,4,1,7,3,0,0,0,1,0,2,2,1,1,2,0,0,0,0,0,1,0,1,4,2,0,7,1,5
"41",3,1,0,0,1,1,3,2,2,5,2,0,0,0,2,2,2,2,1,3,7,4,4,0,2,1,1,2,1,1,1,1,0,0,2,0,1,0,0,0,1,4,3,5,7,0,1,0,0,1,0,0,1,1,0,2,1,0,2,0,0,5,0,0,3,0,0,1,0,0,1,1
"42",1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,2,1,2,0,0,2,1,1,1,1,0,1,1,0,1,2,0,1,0,0,1,0,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,2
"43",1,0,0,0,0,1,0,1,0,0,3,0,0,0,1,4,3,1,1,2,2,1,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0,0,0,1,1,3,2,5,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,4,0,0,1,1,3,1,1,2,0,0,0,0
"44",2,1,0,0,1,1,1,1,0,0,3,3,0,0,4,1,0,3,0,1,0,2,0,0,0,0,3,2,1,1,2,2,0,0,0,1,1,0,0,0,1,2,1,1,1,2,0,0,0,0,1,0,2,0,1,2,1,1,1,3,3,1,0,0,2,2,0,0,2,0,0,0
"45",1,0,1,1,3,2,2,4,2,1,2,0,0,0,0,1,1,0,5,0,1,1,1,3,1,0,0,3,0,1,1,1,1,0,1,0,0,1,2,2,1,0,1,1,0,0,1,1,1,0,0,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,1,1,1,1,0,1
"46",0,0,2,5,1,2,5,3,2,4,4,2,0,0,0,0,3,0,1,1,2,0,0,2,4,2,2,1,2,3,3,1,1,0,1,0,1,2,0,1,2,0,0,1,3,4,1,3,1,4,1,0,0,0,1,1,3,0,1,0,0,0,0,0,2,2,0,2,1,1,2,0
"47",2,2,5,1,4,3,10,2,4,4,1,6,0,0,3,7,3,0,1,0,2,1,2,3,1,2,0,1,3,3,1,3,0,6,0,2,4,0,1,1,2,1,1,3,1,3,3,1,0,3,0,1,1,1,0,2,1,2,0,1,1,2,0,4,0,2,1,2,2,2,3,2
"48",0,0,2,2,0,3,6,5,4,3,2,5,2,0,4,1,2,3,2,3,1,1,0,1,0,1,0,2,0,2,1,1,3,0,0,0,0,0,0,2,0,2,4,1,1,0,1,1,1,0,1,0,0,1,0,4,1,0,2,2,0,0,1,1,1,0,2,3,0,2,0,2
"49",2,0,7,3,4,1,0,2,3,0,1,0,2,2,3,1,1,1,2,3,3,1,0,2,2,0,0,2,0,5,0,1,0,0,0,2,0,1,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,2,2,0,2,3,1,1,0,0,0,1,3,2,0,0,1,0,1,1
"50",0,1,3,0,3,1,2,3,0,1,2,2,0,0,0,1,6,3,1,3,0,0,1,0,3,1,1,0,0,0,2,1,0,2,2,0,0,0,1,3,0,1,1,6,0,1,1,0,0,0,2,0,3,1,0,1,2,2,1,0,0,0,0,0,0,0,2,0,3,1,0,1
"51",0,1,0,3,2,1,2,3,2,0,2,1,1,0,2,3,2,0,6,2,2,2,3,2,0,2,0,0,1,2,0,2,2,4,1,1,1,0,1,0,2,1,7,3,2,3,3,1,3,1,2,2,2,1,1,2,0,0,0,1,0,1,0,2,2,4,2,3,1,0,1,1
"52",1,3,2,1,4,5,5,6,1,3,0,2,3,0,0,0,1,1,0,1,2,2,2,1,3,1,2,5,0,1,0,3,0,1,0,0,0,0,2,0,2,1,1,3,2,1,0,1,2,0,0,1,0,0,3,1,2,1,1,1,0,0,1,0,1,2,0,0,1,0,1,0
"53",2,0,2,2,5,7,3,3,4,5,2,3,4,2,3,1,5,0,0,6,5,3,6,7,2,0,1,2,2,3,6,4,1,4,1,4,1,0,1,3,2,0,2,2,4,0,3,4,2,0,4,0,2,1,2,2,3,0,2,2,1,0,3,1,1,2,3,6,3,1,2,2
"54",2,1,2,4,4,5,1,1,2,1,3,1,1,0,1,0,1,1,5,5,2,0,1,3,1,0,2,1,3,3,1,2,5,3,1,3,2,1,0,2,1,2,1,2,0,5,1,1,1,2,0,0,0,1,0,2,0,0,3,5,0,1,4,1,2,1,2,3,4,4,0,1
"55",1,1,4,8,0,1,3,2,0,2,3,0,2,2,0,2,1,6,3,5,7,4,2,8,3,4,2,1,1,3,0,5,2,2,2,3,5,2,0,2,0,0,0,4,0,9,1,2,3,1,1,1,2,4,2,3,2,0,5,6,0,3,2,2,1,6,6,2,4,8,4,4
"56",1,1,2,5,1,1,2,4,2,1,3,3,2,0,0,0,1,1,1,2,0,0,0,0,1,0,0,1,1,0,2,2,0,2,2,2,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,2,3,1,0,2,0,1,1,0,0,1,0,0,0,0,1,1,0,1,2,1
"57",1,0,2,1,1,4,0,0,3,1,0,1,0,3,0,0,1,1,1,1,0,2,1,0,0,0,1,1,0,0,1,0,0,5,3,4,0,0,0,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2
"58",0,3,4,2,1,1,6,1,1,7,0,1,2,1,2,2,2,3,0,2,1,2,1,3,2,2,1,3,2,0,1,3,3,4,4,2,2,0,1,0,1,2,0,1,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,1,1,1,0
"59",2,0,1,1,1,1,0,1,5,3,2,2,0,1,2,2,2,0,0,2,1,1,7,3,4,0,4,1,1,2,2,1,2,2,10,5,2,0,0,1,1,1,3,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,0,0,2,1,2,0,0,0,0,2,1,2
"60",1,1,0,0,2,0,1,1,0,0,0,1,1,1,2,1,2,3,4,1,0,4,10,1,3,0,0,0,0,1,3,0,0,2,2,0,0,0,4,1,2,1,6,4,5,2,1,2,0,0,3,0,3,2,0,0,3,3,0,2,1,0,1,0,0,1,1,2,0,2,3,0
"61",3,0,3,3,0,1,4,2,1,1,1,2,1,3,6,1,3,2,3,4,2,6,9,6,3,0,3,6,6,2,3,1,4,2,2,1,0,1,2,3,4,1,3,0,5,6,3,1,3,1,0,0,3,2,1,2,3,2,0,3,3,0,2,1,1,0,5,2,0,1,1,2
"62",2,0,1,1,2,2,0,2,2,0,1,0,0,1,3,6,3,2,4,3,1,2,3,3,0,0,0,1,1,1,0,2,1,3,2,1,1,5,0,4,0,1,4,1,3,0,0,2,1,1,0,1,1,1,2,1,0,0,1,1,1,0,0,1,2,0,1,0,0,2,0,1
"63",1,0,0,1,1,1,0,2,0,2,1,2,0,0,0,2,0,3,3,0,2,1,0,6,3,5,4,0,4,3,2,0,5,1,2,8,1,3,0,2,5,3,6,2,2,0,2,3,0,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,3,0,1
"64",2,0,0,0,0,1,0,1,0,0,1,2,1,2,1,0,1,1,1,2,0,2,2,1,1,0,0,2,0,2,0,1,0,3,1,2,1,2,1,0,1,0,5,5,3,5,3,2,1,0,1,0,2,1,0,0,0,2,1,0,3,0,1,0,0,0,1,0,2,4,0,1
"65",0,1,0,2,2,0,0,0,0,3,0,0,0,1,1,2,0,1,2,3,1,0,3,0,0,1,0,1,3,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,2,1,0,0,2,1,0,0,1,1,0,0,0,0,1,1,1,0
"66",0,1,1,0,0,0,0,0,1,2,2,3,2,1,2,1,3,2,3,0,0,1,1,1,1,0,2,0,3,0,2,2,1,3,1,3,0,1,3,1,3,2,1,1,1,1,0,0,2,2,0,1,1,5,0,1,0,3,1,0,0,0,1,1,1,1,0,0,2,0,1,0
"67",1,0,3,2,4,1,6,6,1,7,3,8,5,3,0,0,3,13,5,2,2,3,2,0,0,0,0,0,2,2,0,3,3,6,4,4,3,1,1,3,2,2,4,3,1,4,0,1,1,0,2,2,1,0,3,3,0,2,1,3,0,1,0,0,3,1,3,0,1,0,0,3
"68",1,1,2,1,1,4,6,5,7,8,6,10,7,5,5,6,3,7,3,2,6,10,7,3,2,0,3,3,5,3,1,4,6,9,7,0,2,0,2,7,11,5,3,5,0,0,0,2,0,1,0,2,0,5,1,1,5,4,1,1,3,1,2,2,2,3,1,4,2,2,2,0
"69",3,1,3,4,3,1,8,4,5,6,3,1,4,6,2,7,7,7,2,2,8,7,1,4,1,2,6,4,2,3,4,2,1,0,6,3,2,0,2,2,1,2,3,5,2,3,2,6,2,1,0,0,2,2,1,0,0,1,2,1,1,1,0,1,2,2,1,1,3,0,3,1
"70",1,1,1,0,2,4,7,3,5,4,2,0,0,0,3,0,4,4,1,1,3,4,3,4,0,0,2,1,1,0,0,2,1,1,1,1,3,2,3,1,7,3,3,4,3,1,3,2,4,0,0,0,0,1,3,2,0,1,1,3,3,1,0,0,0,1,1,2,0,1,1,1
"71",2,0,3,1,3,2,1,2,2,2,5,2,3,1,2,1,4,4,8,2,0,1,2,1,0,1,1,0,1,1,0,1,2,2,1,0,2,1,2,2,0,2,0,2,1,1,2,2,1,1,2,0,0,2,2,2,3,1,2,1,4,0,0,2,0,1,1,2,1,0,1,0
"72",2,0,0,0,1,3,0,4,2,1,3,2,1,0,1,5,0,4,2,2,0,1,0,0,0,1,2,1,3,2,3,0,1,1,1,2,1,1,0,0,1,2,1,3,1,0,0,0,0,0,0,0,1,0,2,2,4,1,0,0,1,2,0,0,0,2,0,0,2,3,1,2
"73",1,2,0,0,1,1,1,1,2,2,0,1,1,0,0,0,2,0,1,2,0,2,3,0,0,1,1,0,0,0,2,1,0,0,1,0,2,0,1,1,1,4,0,3,1,1,1,1,0,2,1,0,0,1,0,2,1,4,2,2,1,0,0,0,3,2,4,0,0,1,0,1
